St  Name                           Version                        Arch   Description                                                  Licenses
ii  libpciaccess0:amd64            0.16-3                         amd64  Generic PCI access library for X                             GPL
ii  libpcre2-8-0:amd64             10.39-3ubuntu0.1               amd64  New Perl Compatible Regular Expression Library- 8 bit runtim "BSD" LICENCE "BSD" License public domain
ii  libpcre3:amd64                 2:8.39-13ubuntu0.22.04.1       amd64  Old Perl 5 Compatible Regular Expression Library - runtime f "BSD" LICENCE "BSD" License
ii  libperl5.34:amd64              5.34.0-3ubuntu1.3              amd64  shared Perl library                                          Artistic Artistic or GPL-1+ or Artistic-dist Artistic-2 Artistic-dist BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic or Artistic-dist GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  libpgm-5.3-0:amd64             5.3.128~dfsg-2                 amd64  OpenPGM shared library                                       BSD-3-clause ISC LGPL-2+ LGPL-2.1
ii  libpixman-1-0:amd64            0.40.0-1ubuntu0.22.04.1        amd64  pixel-manipulation library for X and cairo                   MIT license
ii  libpmi2-0                      21.08.5-2ubuntu1               amd64  SLURM PMI2 library implementation                            ANL Apache-2.0 BSD-2-clause with SSH exception BSD-like FSF-all-permissive FSF-unlimited GPL-2 GPL-2+ GPL-2+ with OpenSSL exception GPL-2+ with OpenSSL exception or Apache-2.0 GPL-3 GPL-3+ GPL-3+ with Autoconf exception ISC LGPL-2.1+ MIT/X11 None Perl PostgreSQL Zlib curl
ii  libpng-dev:amd64               1.6.37-3build5                 amd64  PNG library - development (version 1.6)                      Apache-2.0 BSD-3-clause BSD-like-with-advertising-clause GPL-2+ GPL-2+ or BSD-like-with-advertising-clause expat libpng libpng OR Apache-2.0 OR BSD-3-clause
ii  libpng16-16:amd64              1.6.37-3build5                 amd64  PNG library - runtime (version 1.6)                          Apache-2.0 BSD-3-clause BSD-like-with-advertising-clause GPL-2+ GPL-2+ or BSD-like-with-advertising-clause expat libpng libpng OR Apache-2.0 OR BSD-3-clause
ii  libpocketsphinx3:amd64         0.8.0+real5prealpha+1-14ubuntu amd64  Speech recognition tool - front-end library                  BSD-2 BSD-3-clause GPL-2+
ii  libpopt0:amd64                 1.18-3build1                   amd64  lib for parsing cmdline parameters                           GPL-2+ X-Consortium
ii  libpostproc55:amd64            7:4.4.2-0ubuntu0.22.04.1       amd64  FFmpeg library for post processing - runtime files           BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libprocps8:amd64               2:3.3.17-6ubuntu2.1            amd64  library for accessing process information from /proc         GPL-2.0+ LGPL-2.0+ LGPL-2.1+
ii  libprotobuf-dev:amd64          3.12.4-1ubuntu7.22.04.1        amd64  protocol buffers C++ library (development files) and proto f Apache-2.0 BSD-3-Clause~Google Expat GPL-3 GPLWithACException Public-Domain Public-Domain or Expat
ii  libprotobuf-lite23:amd64       3.12.4-1ubuntu7.22.04.1        amd64  protocol buffers C++ library (lite version)                  Apache-2.0 BSD-3-Clause~Google Expat GPL-3 GPLWithACException Public-Domain Public-Domain or Expat
ii  libprotobuf23:amd64            3.12.4-1ubuntu7.22.04.1        amd64  protocol buffers C++ library                                 Apache-2.0 BSD-3-Clause~Google Expat GPL-3 GPLWithACException Public-Domain Public-Domain or Expat
ii  libprotoc23:amd64              3.12.4-1ubuntu7.22.04.1        amd64  protocol buffers compiler library                            Apache-2.0 BSD-3-Clause~Google Expat GPL-3 GPLWithACException Public-Domain Public-Domain or Expat
ii  libpsl5:amd64                  0.21.0-1.2build2               amd64  Library for Public Suffix List (shared libraries)            Chromium MIT
ii  libpulse0:amd64                1:15.99.1+dfsg1-1ubuntu2.2     amd64  PulseAudio client libraries                                  GPL-2+ LGPL-2+ LGPL-2.1+ other
ii  libpython3-dev:amd64           3.10.6-1~22.04.1               amd64  header files and a static library for Python (default)       GPL-compatible GPL-compatible licenses
ii  libpython3-stdlib:amd64        3.10.6-1~22.04.1               amd64  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  libpython3.10:amd64            3.10.12-1~22.04.6              amd64  Shared Python runtime library (version 3.10)                 GPL-2
ii  libpython3.10-dev:amd64        3.10.12-1~22.04.6              amd64  Header files and a static library for Python (v3.10)         GPL-2
ii  libpython3.10-minimal:amd64    3.10.12-1~22.04.6              amd64  Minimal subset of the Python language (version 3.10)         GPL-2
ii  libpython3.10-stdlib:amd64     3.10.12-1~22.04.6              amd64  Interactive high-level object-oriented language (standard li GPL-2
ii  libquadmath0:amd64             12.3.0-1ubuntu1~22.04          amd64  GCC Quad-Precision Math Library                              Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  librabbitmq4:amd64             0.10.0-1ubuntu2                amd64  AMQP client library written in C                             BSD-Author Expat
ii  libraw1394-11:amd64            2.1.2-2build2                  amd64  library for direct access to IEEE 1394 bus (aka FireWire)    GPL LGPL
ii  librdmacm-dev:amd64            39.0-1                         amd64  Development files for the librdmacm library                  BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT
ii  librdmacm1:amd64               39.0-1                         amd64  Library for managing RDMA connections                        BSD-2-clause BSD-2-clause or GPL-2 BSD-3-clause BSD-3-clause or GPL-2 BSD-MIT BSD-MIT or GPL-2 CC0 CPL-1.0 CPL-1.0 or BSD-2-clause or GPL-2 GPL-2 GPL-2 or BSD-2-clause GPL-2 or BSD-3-clause GPL-2+ MIT
ii  libre2-9:amd64                 20220201+dfsg-1                amd64  efficient, principled regular expression library             Apache-2.0 with LLVM exception BSD-3-google Lucent
ii  libreadline8:amd64             8.1.2-1                        amd64  GNU readline and history libraries, run-time libraries       GFDL GPL-3
ii  librsvg2-2:amd64               2.52.5+dfsg-3ubuntu0.2         amd64  SAX-based renderer library for SVG files (runtime)           0BSD Apache-2.0 Apache-2.0 or Boost-1.0, Apache-2.0 or Expat or 0BSD, Apache-2.0 or Expat, Apache-2.0, BSD-2-clause BSD-2-clause, BSD-3-clause BSD-3-clause, Boost-1.0 CC-BY-3.0 CC-zero-waive-1.0-us Expat Expat or Unlicense, Expat, FSFAP LGPL-2+ MPL-2.0 MPL-2.0, OFL-1.1 Sun-permissive Sun-permissive, Unlicense zlib
ii  librtmp1:amd64                 2.4+20151223.gitfa8646d.1-2bui amd64  toolkit for RTMP streams (shared library)                    GPL-2 LGPL-2.1
ii  librubberband2:amd64           2.0.0-2                        amd64  audio time-stretching and pitch-shifting library             BSD-3-clause BSD-4-clause Expat GPL-2+ Zlib other-1
ii  libsamplerate0:amd64           0.2.2-1build1                  amd64  Audio sample rate conversion library                         BSD-2-clause FSFAP GPL-2+ GPL-3+
ii  libsasl2-2:amd64               2.1.27+dfsg2-3ubuntu1.2        amd64  Cyrus SASL - authentication abstraction library              BSD-2-clause BSD-2.2-clause BSD-3-clause BSD-3-clause-JANET BSD-3-clause-PADL BSD-4-clause BSD-4-clause-UC FSFULLR GPL-3+ IBM-as-is MIT-CMU MIT-Export MIT-OpenVision OpenLDAP OpenSSL RSA-MD SSLeay
ii  libsasl2-modules-db:amd64      2.1.27+dfsg2-3ubuntu1.2        amd64  Cyrus SASL - pluggable authentication modules (DB)           BSD-2-clause BSD-2.2-clause BSD-3-clause BSD-3-clause-JANET BSD-3-clause-PADL BSD-4-clause BSD-4-clause-UC FSFULLR GPL-3+ IBM-as-is MIT-CMU MIT-Export MIT-OpenVision OpenLDAP OpenSSL RSA-MD SSLeay
ii  libsdl2-2.0-0:amd64            2.0.20+dfsg-2ubuntu1.22.04.1   amd64  Simple DirectMedia Layer                                     Apache-2.0 BSD-3-clause BSD-3-clause or GPL-3 or hidapi-orig, BSD-3-clause-chromium BSD-3-clause-kitware BrownUn_UnCalifornia_ErikCorry Expat Expat-like GPL-3 Gareth_McCaughan LGPL-2.1+ MIT-open-group Mozilla-permissive PublicDomain_David_Ludwig PublicDomain_Edgar_Simo PublicDomain_Sam_Lantinga RSA_Data_Security SGI-Free-Software-License-B SunPro hidapi-orig zlib-libpng-like-permissive zlib/libpng
ii  libseccomp2:amd64              2.5.3-2ubuntu2                 amd64  high level interface to Linux seccomp filter                 LGPL-2.1
ii  libselinux1:amd64              3.3-1build2                    amd64  SELinux runtime shared libraries                             GPL-2 LGPL-2.1
ii  libsemanage-common             3.3-1build2                    all    Common files for SELinux policy management libraries         GPL LGPL
ii  libsemanage2:amd64             3.3-1build2                    amd64  SELinux policy management library                            GPL LGPL
ii  libsensors-config              1:3.6.0-7ubuntu1               all    lm-sensors configuration files                               GPL-2 LGPL-2.1
ii  libsensors5:amd64              1:3.6.0-7ubuntu1               amd64  library to read temperature/voltage/fan sensors              GPL-2 LGPL-2.1
ii  libsepol2:amd64                3.3-1build1                    amd64  SELinux library for manipulating binary security policies    GPL LGPL
ii  libserd-0-0:amd64              0.30.10-2                      amd64  lightweight RDF syntax library                               BSD-3-clause ISC
ii  libshine3:amd64                3.1.1-2                        amd64  Fixed-point MP3 encoding library - runtime files             GPL-2+ LGPL-2
ii  libsigsegv2:amd64              2.13-1ubuntu3                  amd64  Library for handling page faults in a portable way           GPL-2+ GPL-2+ with Autoconf exception permissive-fsf permissive-other
ii  libslang2:amd64                2.3.2-5build4                  amd64  S-Lang programming library - runtime version                 GPL-2+
ii  libsmartcols1:amd64            2.37.2-4ubuntu3.4              amd64  smart column output alignment library                        BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libsnappy-dev:amd64            1.1.8-1build3                  amd64  fast compression/decompression library (development files)   unknown
ii  libsnappy1v5:amd64             1.1.8-1build3                  amd64  fast compression/decompression library                       unknown
ii  libsndfile1:amd64              1.0.31-2ubuntu0.1              amd64  Library for reading/writing audio files                      Apache-2.0 BSD-3-clause FSFAP GPL-2+ LGPL-2+ LGPL-2.1+ gsm sun
ii  libsndio7.0:amd64              1.8.1-1.1                      amd64  Small audio and MIDI framework from OpenBSD, runtime librari ISC ISC-packaging
ii  libsodium23:amd64              1.0.18-1build2                 amd64  Network communication, cryptography and signaturing library  BSD-2-clause CC0 GPL-2+ ISC MIT public-domain
ii  libsord-0-0:amd64              0.16.8-2                       amd64  library for storing RDF data in memory                       BSD-3-clause ISC
ii  libsource-highlight-common     3.1.9-4.1build2                all    architecture-independent files for source highlighting libra Expat GPL-3+
ii  libsource-highlight4v5         3.1.9-4.1build2                amd64  source highlighting library                                  Expat GPL-3+
ii  libsox-fmt-alsa:amd64          14.4.2+git20190427-2+deb11u2ub amd64  SoX alsa format I/O library                                  Expat FSF_unlimited FSF_unlimited or GPL-2+ with AutoConf exception FSF_unlimited or GPL-2+ with LibTool exception GPL GPL-2+ GPL-2+ or LGPL-2.1+ GPL-2+ with AutoConf exception GPL-2+ with LibTool exception ISC LGPL-2.1+ LGPL-2.1+ or MIT/X11 MIT/X11
ii  libsox-fmt-base:amd64          14.4.2+git20190427-2+deb11u2ub amd64  Minimal set of SoX format libraries                          Expat FSF_unlimited FSF_unlimited or GPL-2+ with AutoConf exception FSF_unlimited or GPL-2+ with LibTool exception GPL GPL-2+ GPL-2+ or LGPL-2.1+ GPL-2+ with AutoConf exception GPL-2+ with LibTool exception ISC LGPL-2.1+ LGPL-2.1+ or MIT/X11 MIT/X11
ii  libsox3:amd64                  14.4.2+git20190427-2+deb11u2ub amd64  SoX library of audio effects and processing                  Expat FSF_unlimited FSF_unlimited or GPL-2+ with AutoConf exception FSF_unlimited or GPL-2+ with LibTool exception GPL GPL-2+ GPL-2+ or LGPL-2.1+ GPL-2+ with AutoConf exception GPL-2+ with LibTool exception ISC LGPL-2.1+ LGPL-2.1+ or MIT/X11 MIT/X11
ii  libsoxr0:amd64                 0.1.3-4build2                  amd64  High quality 1D sample-rate conversion library               LGPL-2.1+ Spherepack permissive1 permissive2
ii  libspeex1:amd64                1.2~rc1.2-1.1ubuntu3           amd64  The Speex codec runtime library                              unknown
ii  libsphinxbase3:amd64           0.8+5prealpha+1-13build1       amd64  Speech recognition tool - shared library                     BSD-2-clause BSD-2-clause-beyond BSD-3-clause BSD-3-clause-carnegie GPL-2+ lucent u-o-tennesee
ii  libsqlite3-0:amd64             3.37.2-2ubuntu0.3              amd64  SQLite 3 shared library                                      GPL-2+ public-domain
ii  libsratom-0-0:amd64            0.6.8-1                        amd64  library for serialising LV2 atoms to/from Turtle             BSD-3-clause ISC
ii  libsrt1.4-gnutls:amd64         1.4.4-4                        amd64  Secure Reliable Transport UDP streaming library (GnuTLS flav BSD-3-clause LGPL-2.1+ MPL-2.0 Zlib unlicense
ii  libss2:amd64                   1.46.5-2ubuntu1.2              amd64  command-line interface parsing library                       unknown
ii  libssh-4:amd64                 0.9.6-2ubuntu0.22.04.3         amd64  tiny C SSH library (OpenSSL flavor)                          BSD-2-clause BSD-3-clause LGPL-2.1 LGPL-2.1+~OpenSSL LGPL-2.1+~OpenSSL or BSD-2-clause or BSD-3-clause public-domain
ii  libssh-gcrypt-4:amd64          0.9.6-2ubuntu0.22.04.3         amd64  tiny C SSH library (gcrypt flavor)                           BSD-2-clause BSD-3-clause LGPL-2.1 LGPL-2.1+~OpenSSL LGPL-2.1+~OpenSSL or BSD-2-clause or BSD-3-clause public-domain
ii  libssl-dev:amd64               3.0.2-0ubuntu1.18              amd64  Secure Sockets Layer toolkit - development files             Apache-2.0 Artistic Artistic or GPL-1+ GPL-1+
ii  libssl3:amd64                  3.0.2-0ubuntu1.18              amd64  Secure Sockets Layer toolkit - shared libraries              Apache-2.0 Artistic Artistic or GPL-1+ GPL-1+
ii  libstdc++-11-dev:amd64         11.4.0-1ubuntu1~22.04          amd64  GNU Standard C++ Library v3 (development files)              Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libstdc++6:amd64               12.3.0-1ubuntu1~22.04          amd64  GNU Standard C++ Library v3                                  Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libswresample3:amd64           7:4.4.2-0ubuntu0.22.04.1       amd64  FFmpeg library for audio resampling, rematrixing etc. - runt BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libswscale5:amd64              7:4.4.2-0ubuntu0.22.04.1       amd64  FFmpeg library for image scaling and various conversions - r BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat GPL-2+ GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libsystemd0:amd64              249.11-0ubuntu3.12             amd64  systemd utility library                                      CC0-1.0 Expat GPL-2 GPL-2 with Linux-syscall-note exception GPL-2+ LGPL-2.1+ public-domain
ii  libsz2:amd64                   1.0.6-1                        amd64  Adaptive Entropy Coding library - SZIP                       unknown
ii  libtasn1-6:amd64               4.18.0-4build1                 amd64  Manage ASN.1 structures (runtime)                            GFDL-1.3 GPL-3 LGPL LGPL-2.1
ii  libtcmalloc-minimal4:amd64     2.9.1-0ubuntu3                 amd64  efficient thread-caching malloc                              BSD-3-clause GPL-2+
ii  libthai-data                   0.1.29-1build1                 all    Data files for Thai language support library                 GPL-2+ LGPL-2.1+
ii  libthai0:amd64                 0.1.29-1build1                 amd64  Thai language support library                                GPL-2+ LGPL-2.1+
ii  libtheora0:amd64               1.1.1+dfsg.1-15ubuntu4         amd64  Theora Video Compression Codec                               BSD-3-Clause
ii  libtiff5:amd64                 4.3.0-6ubuntu0.10              amd64  Tag Image File Format (TIFF) library                         Hylafax
ii  libtinfo5:amd64                6.3-2ubuntu0.1                 amd64  shared low-level terminfo library (legacy version)           BSD-3-clause MIT/X11 X11
ii  libtinfo6:amd64                6.3-2ubuntu0.1                 amd64  shared low-level terminfo library for terminal handling      BSD-3-clause MIT/X11 X11
ii  libtirpc-common                1.3.2-2ubuntu0.1               all    transport-independent RPC library - common files             BSD-2-Clause BSD-3-Clause BSD-4-Clause GPL-2 LGPL-2.1+ PERMISSIVE __AUTO_PERMISSIVE__
ii  libtirpc-dev:amd64             1.3.2-2ubuntu0.1               amd64  transport-independent RPC library - development files        BSD-2-Clause BSD-3-Clause BSD-4-Clause GPL-2 LGPL-2.1+ PERMISSIVE __AUTO_PERMISSIVE__
ii  libtirpc3:amd64                1.3.2-2ubuntu0.1               amd64  transport-independent RPC library                            BSD-2-Clause BSD-3-Clause BSD-4-Clause GPL-2 LGPL-2.1+ PERMISSIVE __AUTO_PERMISSIVE__
ii  libtool                        2.4.6-15build2                 all    Generic library support script                               GFDL GPL
ii  libtsan0:amd64                 11.4.0-1ubuntu1~22.04          amd64  ThreadSanitizer -- a Valgrind-based detector of data races ( Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libtwolame0:amd64              0.4.0-2build2                  amd64  MPEG Audio Layer 2 encoding library                          LGPL-2+
ii  libubsan1:amd64                12.3.0-1ubuntu1~22.04          amd64  UBSan -- undefined behaviour sanitizer (runtime)             Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  libudev1:amd64                 249.11-0ubuntu3.12             amd64  libudev shared library                                       CC0-1.0 Expat GPL-2 GPL-2 with Linux-syscall-note exception GPL-2+ LGPL-2.1+ public-domain
ii  libudfread0:amd64              1.1.2-1                        amd64  UDF reader library                                           GPL-2+ with autoconf-macro exception LGPL-2.1+
ii  libunistring2:amd64            1.0-1                          amd64  Unicode string library for C                                 FreeSoftware GFDL-1.2+ GPL-2+ GPL-2+ with distribution exception GPL-3+ GPL-3+ or GFDL-1.2+ LGPL-3+ LGPL-3+ or GPL-2+ MIT
ii  libunwind-dev:amd64            1.3.2-2build2.1                amd64  library to determine the call-chain of a program - developme Expat GPL-2+
ii  libunwind8:amd64               1.3.2-2build2.1                amd64  library to determine the call-chain of a program - runtime   Expat GPL-2+
ii  libusb-1.0-0:amd64             2:1.0.25-1ubuntu2              amd64  userspace USB programming library                            GPL-2 LGPL-2.1
ii  libuuid1:amd64                 2.37.2-4ubuntu3.4              amd64  Universally Unique ID library                                BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libva-drm2:amd64               2.14.0-1                       amd64  Video Acceleration (VA) API for Linux -- DRM runtime         Expat Expat-advertising GPL-2+ other
ii  libva-x11-2:amd64              2.14.0-1                       amd64  Video Acceleration (VA) API for Linux -- X11 runtime         Expat Expat-advertising GPL-2+ other
ii  libva2:amd64                   2.14.0-1                       amd64  Video Acceleration (VA) API for Linux -- runtime             Expat Expat-advertising GPL-2+ other
ii  libvdpau1:amd64                1.4-3build2                    amd64  Video Decode and Presentation API for Unix (libraries)       Expat other
ii  libvidstab1.1:amd64            1.1.0-2                        amd64  video stabilization library (shared library)                 GPL-2.0+
ii  libvorbis0a:amd64              1.3.7-1build2                  amd64  decoder library for Vorbis General Audio Compression Codec   BSD-3-Clause RFC-special
ii  libvorbisenc2:amd64            1.3.7-1build2                  amd64  encoder library for Vorbis General Audio Compression Codec   BSD-3-Clause RFC-special
ii  libvorbisfile3:amd64           1.3.7-1build2                  amd64  high-level API for Vorbis General Audio Compression Codec    BSD-3-Clause RFC-special
ii  libvpx7:amd64                  1.11.0-2ubuntu2.3              amd64  VP8 and VP9 video codec (shared library)                     BSD-3-Clause ISC public-domain
ii  libwavpack1:amd64              5.4.0-1build2                  amd64  audio codec (lossy and lossless) - library                   BSD-2-clause BSD-3-clause public-domain
ii  libwayland-client0:amd64       1.20.0-1ubuntu0.1              amd64  wayland compositor infrastructure - client library           X11
ii  libwayland-cursor0:amd64       1.20.0-1ubuntu0.1              amd64  wayland compositor infrastructure - cursor library           X11
ii  libwayland-egl1:amd64          1.20.0-1ubuntu0.1              amd64  wayland compositor infrastructure - EGL library              X11
ii  libwayland-server0:amd64       1.20.0-1ubuntu0.1              amd64  wayland compositor infrastructure - server library           X11
ii  libwebp7:amd64                 1.2.2-2ubuntu0.22.04.2         amd64  Lossy compression of digital photographic images             Apache-2.0
ii  libwebpmux3:amd64              1.2.2-2ubuntu0.22.04.2         amd64  Lossy compression of digital photographic images             Apache-2.0
ii  libwrap0:amd64                 7.6.q-31build2                 amd64  Wietse Venema's TCP wrappers library                         unknown
ii  libx11-6:amd64                 2:1.7.5-1ubuntu0.3             amd64  X11 client-side library                                      MIT license
ii  libx11-data                    2:1.7.5-1ubuntu0.3             all    X11 client-side library                                      MIT license
ii  libx11-xcb1:amd64              2:1.7.5-1ubuntu0.3             amd64  Xlib/XCB interface library                                   MIT license
ii  libx264-163:amd64              2:0.163.3060+git5db6aa6-2build amd64  x264 video coding library                                    BSD-3-clause Expat GPL-2+ GPL-2+ with other exception ISC LGPL-2.1+ public-domain
ii  libx265-199:amd64              3.5-2                          amd64  H.265/HEVC video stream encoder (shared library)             Expat GPL-2+ ISC LGPL-2.1+
ii  libxau6:amd64                  1:1.0.9-1build5                amd64  X11 authorisation library                                    unknown
ii  libxcb-dri2-0:amd64            1.14-3ubuntu3                  amd64  X C Binding, dri2 extension                                  unknown
ii  libxcb-dri3-0:amd64            1.14-3ubuntu3                  amd64  X C Binding, dri3 extension                                  unknown
ii  libxcb-glx0:amd64              1.14-3ubuntu3                  amd64  X C Binding, glx extension                                   unknown
ii  libxcb-present0:amd64          1.14-3ubuntu3                  amd64  X C Binding, present extension                               unknown
ii  libxcb-randr0:amd64            1.14-3ubuntu3                  amd64  X C Binding, randr extension                                 unknown
ii  libxcb-render0:amd64           1.14-3ubuntu3                  amd64  X C Binding, render extension                                unknown
ii  libxcb-shape0:amd64            1.14-3ubuntu3                  amd64  X C Binding, shape extension                                 unknown
ii  libxcb-shm0:amd64              1.14-3ubuntu3                  amd64  X C Binding, shm extension                                   unknown
ii  libxcb-sync1:amd64             1.14-3ubuntu3                  amd64  X C Binding, sync extension                                  unknown
ii  libxcb-xfixes0:amd64           1.14-3ubuntu3                  amd64  X C Binding, xfixes extension                                unknown
ii  libxcb1:amd64                  1.14-3ubuntu3                  amd64  X C Binding                                                  unknown
ii  libxcursor1:amd64              1:1.2.0-2build4                amd64  X cursor management library                                  unknown
ii  libxdmcp6:amd64                1:1.1.3-0ubuntu5               amd64  X11 Display Manager Control Protocol library                 unknown
ii  libxext6:amd64                 2:1.3.4-1build1                amd64  X11 miscellaneous extension library                          unknown
ii  libxfixes3:amd64               1:6.0.0-1                      amd64  X11 miscellaneous 'fixes' extension library                  unknown
ii  libxi6:amd64                   2:1.8-1build1                  amd64  X11 Input extension library                                  unknown
ii  libxinerama1:amd64             2:1.1.4-3                      amd64  X11 Xinerama extension library                               unknown
ii  libxkbcommon0:amd64            1.4.0-1                        amd64  library interface to the XKB compiler - shared library       unknown
ii  libxml2:amd64                  2.9.13+dfsg-1ubuntu0.4         amd64  GNOME XML library                                            ISC MIT-1
ii  libxrandr2:amd64               2:1.5.2-1build1                amd64  X11 RandR extension library                                  unknown
ii  libxrender1:amd64              1:0.9.10-1build4               amd64  X Rendering Extension client library                         unknown
ii  libxshmfence1:amd64            1.3-1build4                    amd64  X shared memory fences - shared library                      unknown
ii  libxss1:amd64                  1:1.2.3-1build2                amd64  X11 Screen Saver extension library                           unknown
ii  libxv1:amd64                   2:1.0.11-1build2               amd64  X11 Video extension library                                  unknown
ii  libxvidcore4:amd64             2:1.3.7-1                      amd64  Open source MPEG-4 video codec (library)                     GPL-2+ LGPL-2+
ii  libxxf86vm1:amd64              1:1.1.4-1build3                amd64  X11 XFree86 video mode extension library                     unknown
ii  libxxhash0:amd64               0.8.1-1                        amd64  shared library for xxhash                                    BSD-2-clause GPL-2
ii  libzimg2:amd64                 3.0.3+ds1-1                    amd64  scaling, colorspace, depth conversion library (shared librar GPL-3+ with AutoConf exception WTFPL-2
ii  libzmq5:amd64                  4.3.4-2                        amd64  lightweight messaging kernel (shared library)                LGPL-2.0+ LGPL-3.0+ with special exception granted by copyright holders MIT
ii  libzstd1:amd64                 1.4.8+dfsg-3build1             amd64  fast lossless compression algorithm                          BSD-3-clause Expat GPL-2 zlib
ii  libzvbi-common                 0.2.35-19                      all    Vertical Blanking Interval decoder (VBI) - common files      BSD-2-Clause BSD-3-Clause GPL-2 GPL-2+ GPL-2+ or BSD-3-Clause LGPL-2+ LGPL-2.1+ MIT
ii  libzvbi0:amd64                 0.2.35-19                      amd64  Vertical Blanking Interval decoder (VBI) - runtime files     BSD-2-Clause BSD-3-Clause GPL-2 GPL-2+ GPL-2+ or BSD-3-Clause LGPL-2+ LGPL-2.1+ MIT
ii  linux-libc-dev:amd64           5.15.0-122.132                 amd64  Linux Kernel Headers for development                         GPL-2
ii  login                          1:4.8.1-2ubuntu2.2             amd64  system login tools                                           GPL-2
ii  logsave                        1.46.5-2ubuntu1.2              amd64  save the output of a command in a log file                   GPL-2 LGPL-2
ii  lsb-base                       11.1.0ubuntu4                  all    Linux Standard Base init script functionality                BSD-3-clause GPL-2
ii  lsb-release                    11.1.0ubuntu4                  all    Linux Standard Base version reporting utility                BSD-3-clause GPL-2
ii  lto-disabled-list              24                             all    list of packages not to build with LTO                       GPL-2+
ii  m4                             1.4.18-5ubuntu2                amd64  macro processing language                                    GFDL GPL
ii  make                           4.3-4.1build1                  amd64  utility for directing compilation                            GPL-3+
ii  mawk                           1.3.4.20200120-3               amd64  Pattern scanning and text processing language                GPL-2
ii  media-types                    7.0.0                          all    List of standard media types and their usual file extension  ad-hoc
ii  mount                          2.37.2-4ubuntu3.4              amd64  tools for mounting and manipulating filesystems              BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  nano                           6.2-1                          amd64  small, friendly text editor inspired by Pico                 GFDL-NIV+ GFDL-NIV+ or GPL-3+ GPL-3+
ii  nasm                           2.15.05-1                      amd64  General-purpose x86 assembler                                GPL-2
ii  ncurses-base                   6.3-2ubuntu0.1                 all    basic terminal type definitions                              BSD-3-clause MIT/X11 X11
ii  ncurses-bin                    6.3-2ubuntu0.1                 amd64  terminal-related programs and man pages                      BSD-3-clause MIT/X11 X11
ii  netcat                         1.218-4ubuntu1                 all    TCP/IP swiss army knife -- transitional package              BSD-2-Clause BSD-3-Clause
ii  netcat-openbsd                 1.218-4ubuntu1                 amd64  TCP/IP swiss army knife                                      BSD-2-Clause BSD-3-Clause
ii  ninja-build                    1.10.1-1                       amd64  small build system closest in spirit to Make                 Apache-2.0 other
ii  nsight-compute-2024.3.2        2024.3.2.3-1                   amd64  NVIDIA Nsight Compute                                        unknown
ii  nsight-systems-cli-2024.6.1    2024.6.1.90-246134905481v0     amd64  Nsight Systems is a statistical sampling profiler with traci unknown
ii  numactl                        2.0.14-3ubuntu2                amd64  NUMA scheduling and memory placement tool                    GPL LGPL
ii  ocl-icd-libopencl1:amd64       2.2.14-3                       amd64  Generic OpenCL ICD Loader                                    BSD-2-Clause
